LonDD,LatDD,Cell,Width,Height
120.25,16.75,Agriculture,0.5,0.5
120.75,16.75,Agriculture,0.5,0.5
121.25,16.75,Agriculture,0.5,0.5
121.75,16.75,Agriculture,0.5,0.5
122.25,16.75,Agriculture,0.5,0.5
119.75,16.25,Agriculture,0.5,0.5
120.25,16.25,Agriculture,0.5,0.5
120.75,16.25,Agriculture,0.5,0.5
121.25,16.25,Agriculture,0.5,0.5
121.75,16.25,Agriculture,0.5,0.5
122.25,16.25,Agriculture,0.5,0.5
119.75,15.75,Agriculture,0.5,0.5
120.25,15.75,Agriculture,0.5,0.5
120.75,15.75,Agriculture,0.5,0.5
121.25,15.75,Agriculture,0.5,0.5
121.75,15.75,Agriculture,0.5,0.5
119.75,15.25,Agriculture,0.5,0.5
120.25,15.25,Agriculture,0.5,0.5
120.75,15.25,Agriculture,0.5,0.5
121.25,15.25,Agriculture,0.5,0.5
120.25,14.75,Agriculture,0.5,0.5
120.75,14.75,Agriculture,0.5,0.5
121.25,14.75,Agriculture,0.5,0.5
121.75,14.75,Agriculture,0.5,0.5
120.25,14.25,Agriculture,0.5,0.5
120.75,14.25,Agriculture,0.5,0.5
121.25,14.25,Agriculture,0.5,0.5
121.75,14.25,Agriculture,0.5,0.5
122.25,14.25,Agriculture,0.5,0.5
122.75,14.25,Agriculture,0.5,0.5
120.25,13.75,Agriculture,0.5,0.5
120.75,13.75,Agriculture,0.5,0.5
121.25,13.75,Agriculture,0.5,0.5
121.75,13.75,Agriculture,0.5,0.5
122.25,13.75,Agriculture,0.5,0.5
122.75,13.75,Agriculture,0.5,0.5
123.25,13.75,Agriculture,0.5,0.5
123.75,13.75,Agriculture,0.5,0.5
120.25,13.25,Agriculture,0.5,0.5
120.75,13.25,Agriculture,0.5,0.5
121.25,13.25,Agriculture,0.5,0.5
121.75,13.25,Agriculture,0.5,0.5
122.25,13.25,Agriculture,0.5,0.5
122.75,13.25,Agriculture,0.5,0.5
123.25,13.25,Agriculture,0.5,0.5
123.75,13.25,Agriculture,0.5,0.5
120.75,12.75,Agriculture,0.5,0.5
121.25,12.75,Agriculture,0.5,0.5
122.25,12.75,Agriculture,0.5,0.5
123.75,12.75,Agriculture,0.5,0.5
124.25,12.75,Agriculture,0.5,0.5
119.75,12.25,Agriculture,0.5,0.5
120.25,12.25,Agriculture,0.5,0.5
121.25,12.25,Agriculture,0.5,0.5
122.25,12.25,Agriculture,0.5,0.5
122.75,12.25,Agriculture,0.5,0.5
123.25,12.25,Agriculture,0.5,0.5
123.75,12.25,Agriculture,0.5,0.5
124.25,12.25,Agriculture,0.5,0.5
124.75,12.25,Agriculture,0.5,0.5
125.25,12.25,Agriculture,0.5,0.5
119.75,11.75,Agriculture,0.5,0.5
120.25,11.75,Agriculture,0.5,0.5
121.75,11.75,Agriculture,0.5,0.5
122.25,11.75,Agriculture,0.5,0.5
122.75,11.75,Agriculture,0.5,0.5
123.75,11.75,Agriculture,0.5,0.5
124.25,11.75,Agriculture,0.5,0.5
124.75,11.75,Agriculture,0.5,0.5
125.25,11.75,Agriculture,0.5,0.5
119.25,11.25,Agriculture,0.5,0.5
119.75,11.25,Agriculture,0.5,0.5
122.25,11.25,Agriculture,0.5,0.5
122.75,11.25,Agriculture,0.5,0.5
123.25,11.25,Agriculture,0.5,0.5
124.25,11.25,Agriculture,0.5,0.5
124.75,11.25,Agriculture,0.5,0.5
125.25,11.25,Agriculture,0.5,0.5
125.75,11.25,Agriculture,0.5,0.5
119.25,10.75,Agriculture,0.5,0.5
119.75,10.75,Agriculture,0.5,0.5
120.75,10.75,Agriculture,0.5,0.5
121.25,10.75,Agriculture,0.5,0.5
122.25,10.75,Agriculture,0.5,0.5
122.75,10.75,Agriculture,0.5,0.5
123.25,10.75,Agriculture,0.5,0.5
123.75,10.75,Agriculture,0.5,0.5
124.75,10.75,Agriculture,0.5,0.5
125.25,10.75,Agriculture,0.5,0.5
122.75,10.25,Agriculture,0.5,0.5
123.25,10.25,Agriculture,0.5,0.5
123.75,10.25,Agriculture,0.5,0.5
124.25,10.25,Agriculture,0.5,0.5
124.75,10.25,Agriculture,0.5,0.5
125.25,10.25,Agriculture,0.5,0.5
125.75,10.25,Agriculture,0.5,0.5
122.25,9.75,Agriculture,0.5,0.5
122.75,9.75,Agriculture,0.5,0.5
123.25,9.75,Agriculture,0.5,0.5
123.75,9.75,Agriculture,0.5,0.5
124.25,9.75,Agriculture,0.5,0.5
125.25,9.75,Agriculture,0.5,0.5
125.75,9.75,Agriculture,0.5,0.5
126.25,9.75,Agriculture,0.5,0.5
122.75,9.25,Agriculture,0.5,0.5
123.25,9.25,Agriculture,0.5,0.5
123.75,9.25,Agriculture,0.5,0.5
124.75,9.25,Agriculture,0.5,0.5
125.75,9.25,Agriculture,0.5,0.5
126.25,9.25,Agriculture,0.5,0.5
123.25,8.75,Agriculture,0.5,0.5
123.75,8.75,Agriculture,0.5,0.5
124.75,8.75,Agriculture,0.5,0.5
125.25,8.75,Agriculture,0.5,0.5
125.75,8.75,Agriculture,0.5,0.5
126.25,8.75,Agriculture,0.5,0.5
122.75,8.25,Agriculture,0.5,0.5
123.25,8.25,Agriculture,0.5,0.5
123.75,8.25,Agriculture,0.5,0.5
124.25,8.25,Agriculture,0.5,0.5
