SiteNum,CoMgmtSite,Country,S_agr,S_fsh,S_agrfsh,MSL1,MSL2,lonDD,latDD,E_maize_Ssp126,E_rice_Ssp126,E_cassava_Ssp126,E_agr_Ssp126_Weighted,E_agr_Ssp126_Weighted25perc,E_agr_Ssp126_Weighted75perc,E_agr_Ssp126_PercModelAgree,E_agr_Ssp126_Unweighted,E_agr_Ssp126_Unweighted25perc,E_agr_Ssp126_Unweighted75perc,E_maize_Ssp585,E_rice_Ssp585,E_cassava_Ssp585,E_agr_Ssp585_Weighted,E_agr_Ssp585_Weighted25perc,E_agr_Ssp585_Weighted75perc,E_agr_Ssp585_PercModelAgree,E_agr_Ssp585_Unweighted,E_agr_Ssp585_Unweighted25perc,E_agr_Ssp585_Unweighted75perc,E_fish_Ssp126,E_fish_Ssp126_25perc,E_fish_Ssp126_75perc,E_fish_Ssp126_PercModelAgree,E_fish_Ssp585,E_fish_Ssp585_25perc,E_fish_Ssp585_75perc,E_fish_Ssp585_PercModelAgree
1,1,philippines,0.008251985634043191,0.09396479220440242,0.14140902654701287,0.5238801944138969,0.01144422037546521,123.9149556,9.928080556,-4.40734159163605,4.14759016835084,-0.932206596782067,-1.88342962311618,-3.76371796597696,0.0935346568880533,70,-0.3973193400224257,-2.19694067009642,1.5041939485735796,-7.73264096173959,6.45381693537111,-2.57072571211915,-4.07289565300726,-5.86024201293208,-1.17185539866083,80,-1.2831832461625432,-4.027957702746604,1.3408182513621865,-6.963564331,-14.23654416,0.321856359,75,-10.82856213,-21.9350958,1.410048662,68.75
2,15,philippines,0.06388110292679748,0.003218390804597701,0.07151979565772669,0.14704318340956174,-0.015540592040245396,124.4918611,10.04431389,-4.26144486649991,3.92999021678778,-1.09642891578726,-1.73551905197757,-3.68131584712065,0.223717762733267,70,-0.47596118849979674,-2.297506802118159,1.4742306300994596,-7.53596950388566,5.72869678495414,-2.77716037428991,-3.7203965579374,-5.66602496064242,-0.865292286095271,80,-1.5281443644071433,-4.262647291513939,1.3872766049111,-6.27643651,-14.58295416,0.803448801,68.75,-9.366402682,-25.01202007,3.802200248,68.75
3,16,philippines,0.008042176749173442,0.10944700460829493,0.15414172102582432,-0.1180590676967988,0.040616316981004263,124.5950083,10.08604722,-4.26144486649991,3.92999021678778,-1.09597580813539,-1.73551905197757,-3.67399505949682,0.248033744397258,70,-0.4758101526158401,-2.296971906971379,1.4741263486565128,-7.53596950388566,5.72869678495414,-2.77659744903202,-3.70743260487037,-5.65340953753872,-0.817289208315483,80,-1.5279567226545134,-4.260543294386351,1.3890108221670399,-6.065207106,-14.876377,1.25359695,62.5,-8.901994707,-25.52311377,4.620287696,68.75
4,18,philippines,0.01219043332301835,0.17560975609756097,0.27822944896115626,0.563907372558412,-0.08257582719365934,121.4216694,13.75197778,-4.62607602282273,4.20911696617354,-0.899055328516171,1.37317859065641,-1.07194865908396,4.05049148882223,65,-0.4386714617217869,-2.903752303141059,0.6750304042855068,-8.53533403652798,7.35493070637669,-4.05308237930099,2.17937954286193,-2.36553396656961,6.42163394809776,65,-1.744495236484093,-4.9732596260276,0.5596205199104936,-6.683391418,-10.48951693,-3.071520437,93.75,-10.19379594,-20.16447552,-0.519666758,75
5,19,philippines,0.01697080948781629,0.09208354129074366,0.17870350803043109,0.5506605769846729,0.013151322686910964,121.4370444,13.69850278,-4.62607602282273,4.20911696617354,-0.899055328516171,1.37317859065641,-1.07194865908396,4.05049148882223,65,-0.4386714617217869,-2.903752303141059,0.6750304042855068,-8.53533403652798,7.35493070637669,-4.05308237930099,2.17937954286193,-2.36553396656961,6.42163394809776,65,-1.744495236484093,-4.9732596260276,0.5596205199104936,-6.683391418,-10.48951693,-3.071520437,93.75,-10.19379594,-20.16447552,-0.519666758,75
6,2,philippines,0,0.27824089920392187,0.27824089920392187,0.03131221407844281,-0.2964196428181225,123.9268361,10.06851667,-4.2592925693452,4.26055542348886,-1.09604660487146,-1.81402852888989,-3.62659680226746,0.314427628737897,70,-0.36492791690926657,-2.1885885236053033,1.4264999725464453,-7.54745827272429,6.06000664882547,-2.77999190213321,-3.46730649762786,-5.35430677654253,-0.631535778940457,80,-1.4224811753440099,-4.077251640320947,1.4661196272937835,-6.350807646,-13.27046777,0.348522287,75,-9.901376887,-22.36108708,2.382863477,68.75
7,20,philippines,0.004613376541542893,0.08020410117508654,0.09436507936507936,0.7309069959796616,0.17597047869919885,121.4017444,13.6797,-4.62607602282273,4.20911696617354,-0.899055328516171,1.37317859065641,-1.07194865908396,4.05049148882223,65,-0.4386714617217869,-2.903752303141059,0.6750304042855068,-8.53533403652798,7.35493070637669,-4.05308237930099,2.17937954286193,-2.36553396656961,6.42163394809776,65,-1.744495236484093,-4.9732596260276,0.5596205199104936,-6.683391418,-10.48951693,-3.071520437,93.75,-10.19379594,-20.16447552,-0.519666758,75
8,21,philippines,0.009221264235326663,0.09443902439024392,0.1380163190495644,0.5950796379272134,0.32542234301492984,121.2456083,13.63992222,-4.62607602282273,4.20911696617354,-0.899055328516171,1.37317859065641,-1.07194865908396,4.05049148882223,65,-0.4386714617217869,-2.903752303141059,0.6750304042855068,-8.53533403652798,7.35493070637669,-4.05308237930099,2.17937954286193,-2.36553396656961,6.42163394809776,65,-1.744495236484093,-4.9732596260276,0.5596205199104936,-6.99452313,-11.37200508,-3.417275789,93.75,-10.75251482,-20.16447552,-0.830784241,81.25
9,22,philippines,0.003165851020327402,0.3186520774216343,0.3385416666666667,0.24788231262826924,-0.1261202858826514,121.2125306,13.63582778,-4.62607602282273,4.20911696617354,-0.899055328516171,1.37317859065641,-1.07194865908396,4.05049148882223,65,-0.4386714617217869,-2.903752303141059,0.6750304042855068,-8.53533403652798,7.35493070637669,-4.05308237930099,2.17937954286193,-2.36553396656961,6.42163394809776,65,-1.744495236484093,-4.9732596260276,0.5596205199104936,-6.99452313,-11.37200508,-3.417275789,93.75,-10.75251482,-20.16447552,-0.830784241,81.25
10,23,philippines,0.006299133239266276,0.13170731707317074,0.17191734417344173,0.3078870100154013,-0.28647217029636834,121.2912944,13.62312778,-4.62607602282273,4.20911696617354,-0.899055328516171,1.37317859065641,-1.07194865908396,4.05049148882223,65,-0.4386714617217869,-2.903752303141059,0.6750304042855068,-8.53533403652798,7.35493070637669,-4.05308237930099,2.17937954286193,-2.36553396656961,6.42163394809776,65,-1.744495236484093,-4.9732596260276,0.5596205199104936,-6.679029912,-10.48951693,-3.071520437,93.75,-10.15646886,-20.16447552,-0.519666758,75
11,24,philippines,0,0.015417043059319482,0.015417043059319482,0.9588551002093547,0.8553403937505168,120.9269,13.76021944,-5.25615472522529,4.19580866976738,-0.212985856965717,1.63646692543106,-1.05071221386063,4.44884114683464,65,-0.42444397080787577,-3.341661297730997,0.6281095428586767,-9.39064855154792,7.48268963777651,-3.64422935333195,2.38520376553613,-2.52722854921246,7.1477395821097804,65,-1.8507294223677868,-4.964804210843097,0.5460426463115101,-7.251279332,-11.29607202,-3.329435613,100,-11.6847654,-20.05394509,-1.204789605,87.5
