country,communityID,CoMgmtSite,dataProvider,lonDD,latDD,APECOSM_ipsl-cm6a-lr,BOATS_ipsl-cm6a-lr,DBEM_ipsl-cm6a-lr,DBPM_ipsl-cm6a-lr,FEISTY_ipsl-cm6a-lr,EcoOcean_ipsl-cm6a-lr,EcoTroph_ipsl-cm6a-lr,MACROECOLOGICAL_ipsl-cm6a-lr,ZooMSS_ipsl-cm6a-lr,BOATS_gfdl-esm4,DBEM_gfdl-esm4,FEISTY_gfdl-esm4,EcoOcean_gfdl-esm4,EcoTroph_gfdl-esm4,MACROECOLOGICAL_gfdl-esm4,ZooMSS_gfdl-esm4
Madagascar,Ampasimena,Rasis,Josh,48.16526667,-13.31202778,17.774818115504274,7.945683902267708,-37.23989559932197,-7.493279803951925,1.912262273346954,-9.015668451076753,2.127674620585518,7.652953699950693,-3.4769916607372386,-21.492673517018023,-42.43146402035389,-33.67988872309362,-21.82383685270083,-24.039170416772894,-18.393666013272526,-46.529950629202474
Madagascar,Anjiahamahavita,Dauphin,Josh,47.78710556,-14.02934167,23.200930135998398,11.889381631202166,-41.417785119596076,-7.414779609562839,8.044426042640861,-8.52275168830612,5.215238592819982,13.363116344363801,-1.8792558050998887,-23.41048745144707,-47.63523804781307,-33.406728076245315,-22.34141388401012,-24.098344754535617,-19.21973483060613,-46.55930726796677
Madagascar,Ambiba,Nosy_Valiha,Josh,47.80941111,-14.17657778,24.15467379111693,13.69426234526594,-43.26832644850158,-7.354526101845615,8.911546755570555,-8.52275168830612,6.183206516689954,15.794549848513162,-0.8734895051802805,-23.3708703913459,-47.63523804781307,-33.21928449960511,-22.34141388401012,-24.125753592566067,-19.082658266241015,-46.37902782264772
Madagascar 2,Ambodipaka,Ambodipaka,Josh,49.70477222,-15.87189722,22.551562203580723,24.443396396516647,17.427354845811436,-8.876550871112531,14.008359609466403,-6.234834253052702,9.349564266214605,27.51961433176129,4.236654625562264,-23.62075750224034,-30.35082676458687,-32.84314198050367,-20.849062671381002,-24.360725165420007,-19.22571142111742,-45.21967272381639
Madagascar,Ifaty,Fimihara,Josh,43.61593333,-23.14531944,18.544703919299522,-1.3527175329924868,-6.868433219001724,-8.141709145626363,3.316589819650484,-5.2613778254241295,-0.9802269996879054,-5.021817585651512,-3.708896470007428,-30.619824526669802,-23.578957058064166,-36.90155448239811,-20.27455522940492,-31.271299327433,-29.145912520109984,-52.028070010986596
Tanzania,Mkokotoni,Mkokotoni,Josh,39.25451111,-5.877127777999999,-11.968527548498386,-16.090898667370002,-53.09345062361635,-10.10853969387413,-13.935014600207241,-15.506412050681817,-13.23888867016204,-16.019421900255626,-11.624951157195717,-19.94656610849461,-35.080674171870626,-35.21905487878183,-25.37774933633684,-22.421549184923663,-16.331821361212885,-48.448235147950726
Tanzania,Matemwe,Matemwe,Josh,39.35114722,-5.8759,-11.968527548498386,-16.090898667370002,-53.09345062361635,-10.10853969387413,-13.935014600207241,-15.506412050681817,-13.23888867016204,-16.019421900255626,-11.624951157195717,-19.94656610849461,-35.080674171870626,-35.21905487878183,-25.37774933633684,-22.421549184923663,-16.331821361212885,-48.448235147950726
Tanzania,Pwani Mchangani,Pwani_Mchangani,Josh,39.35631667,-5.922966667000001,-11.968527548498386,-16.090898667370002,-53.09345062361635,-10.10853969387413,-13.935014600207241,-15.506412050681817,-13.23888867016204,-16.019421900255626,-11.624951157195717,-19.94656610849461,-35.080674171870626,-35.21905487878183,-25.37774933633684,-22.421549184923663,-16.331821361212885,-48.448235147950726
Tanzania,Mtende,Mtende,Josh,39.53041111,-6.496297222000001,-11.387747814627003,-15.355057431349984,-52.979198597652335,-10.03021835279575,-13.370064641737144,-14.688670801549064,-12.573159032449654,-15.013651067512313,-10.826408242015685,-19.86156328225973,-36.75368836542995,-35.009900721259,-24.891593584833636,-22.346039638064276,-16.463227924886493,-48.88281054818747
Tanzania,Jambiani,Jambiani,Josh,39.54517222,-6.3153277779999994,-11.968527548498386,-16.090898667370002,-52.979198597652335,-10.10853969387413,-13.935014600207241,-15.370045582985126,-13.23888867016204,-16.019421900255626,-11.624951157195717,-19.86156328225973,-36.75368836542995,-35.06942441813724,-25.22090949400487,-22.260297477393067,-16.14391100606153,-48.406498200749645
Tanzania,Mzuri,Mzuri,Josh,39.56576667,-6.4098388889999995,-11.387747814627003,-15.355057431349984,-52.979198597652335,-10.03021835279575,-13.370064641737144,-15.57537563277135,-12.573159032449654,-15.013651067512313,-10.826408242015685,-19.86156328225973,-36.75368836542995,-35.122436220602204,-25.844687688689216,-22.498179755927694,-16.48485053140243,-48.58592752247242
Indonesia,LampuyangVillage,LampuyangVillage,Josh,95.12980556,5.671222222000001,0.5812361615499029,-2.1263673796366067,-61.519984711951814,-8.251332522982157,0.29733134513749704,-22.42887741852364,1.0946725486089326,2.9446127276137934,3.6418990934290463,-23.137577910601024,-55.76129670748801,-34.102454209741296,-17.898185243390728,-17.45473710098917,-21.52966487047673,-27.584542514889378
Indonesia,Iboih,Iboih,Josh,95.25813889,5.8706111110000005,1.7708366271030451,-0.8784606090726621,-61.519984711951814,-7.698416742976155,0.6598877950027449,-23.077096785535424,1.9267473769138732,3.356204975250421,4.053260735885433,-22.422008328219057,-55.76129670748801,-33.80568948060082,-18.28099141458854,-17.44094444324319,-21.355179197923235,-28.038884781927965
