Unnamed: 0,FID,pointid,PopDens2020,Country,ISO_A2,ISO_A3,ISO_N3,UN_A3,latDD,lonDD,APECOSM_ipsl-cm6a-lr,BOATS_ipsl-cm6a-lr,DBEM_ipsl-cm6a-lr,DBPM_ipsl-cm6a-lr,FEISTY_ipsl-cm6a-lr,EcoOcean_ipsl-cm6a-lr,EcoTroph_ipsl-cm6a-lr,MACROECOLOGICAL_ipsl-cm6a-lr,ZooMSS_ipsl-cm6a-lr,BOATS_gfdl-esm4,DBEM_gfdl-esm4,FEISTY_gfdl-esm4,EcoOcean_gfdl-esm4,EcoTroph_gfdl-esm4,MACROECOLOGICAL_gfdl-esm4,ZooMSS_gfdl-esm4
1,37032,8261171,47.215900399999995,Indonesia,ID,IDN,360,360,-2.3125,125.9540024,-6.002122766706597,-8.864179936553152,-63.47731054002135,-4.886184628028545,-13.105040222796681,-5.004091361593332,-7.870172293218413,-9.419632766898134,-9.900325354472372,-26.365931345918536,-22.045684519153564,-39.539399437996025,-14.210757335715108,-30.88038592048926,-25.189472725802208,-43.253350949463595
2,1411,12576308,46.811798100000004,Madagascar,MG,MDG,450,450,-19.9874992,48.7625008,8.604148689459269,9.993839384386959,15.135967189248856,-4.943968073878335,7.775460154098757,-1.867585079059042,3.08992577704168,5.320817098330322,-1.6963857236655833,-13.424315657107655,-4.9123444285291695,-15.609390265881906,-4.302155610397163,-12.827367530405597,-11.103541167356267,-19.37062223225898
3,14755,9171816,520.2849731000001,Indonesia,ID,IDN,360,360,-5.520830200000001,105.3539963,4.287589406975467,10.736362723513215,-22.627403713668247,-5.029776618547199,5.238564699345316,-19.358037946164007,8.435797861333194,15.903277905782897,10.036107897441383,-8.468001874560006,-34.40440570533785,-10.39216000744142,-16.13868939877041,-1.7794582498634637,-4.902069338904114,-15.149568266575653
4,60950,4492000,109.65699769999999,Philippines,PH,PHL,608,608,11.2875004,125.1039963,14.882238330556286,8.944789664427265,9.327057352225033,-3.7279713011934112,-17.232998332875493,-3.0818971626556113,4.483269059474049,10.184518188047864,0.2807473139678551,-26.90276728431512,-13.988480843085128,-28.121381341338903,-2.245292566097379,-30.70795543911601,-21.603212915071502,-26.247342865169976
5,14176,9265696,1386.27002,Indonesia,ID,IDN,360,360,-5.979169799999999,107.1959991,3.47102672873858,8.54823767160402,-44.171666712517464,-3.581944162831152,8.79838045687842,-23.027922464832727,9.546436213327581,13.879446578530331,10.318910212807996,-10.63307180206181,-54.38338720483515,-8.584247279398838,-24.230878242843744,-4.619367881551795,-6.299667753962124,-14.23936418765821
6,61517,4398716,58.681098899999995,Philippines,PH,PHL,608,608,11.6208,124.5630035,13.487343274673535,10.202641760234599,5.435149524062943,-3.6386303504233553,-16.954090107416775,-2.9621290724989646,4.092524553237653,8.974603650749803,0.4961935529069983,-25.53576877070185,-12.644104692378889,-24.583423221406264,-6.8567749687010515,-26.23694406434688,-19.343009819485278,-22.94231857855138
7,48816,7344078,69.373497,Indonesia,ID,IDN,360,360,0.779167,99.0457993,-2.551036541374385,-6.945131366788981,-19.33204005382777,-3.1597790628987377,4.535465972210906,-10.175968359141919,-2.379095389937569,-1.9076312806536322,2.5148437273098123,-7.802995846888394,-6.673734069180615,-7.48569465185539,-8.83309592161674,-1.9913915619659273,-4.204818532245646,-10.535576284764481
8,63705,3995631,762.9920043999999,Philippines,PH,PHL,608,608,12.9708004,123.9039993,10.500803078494148,12.901761952983959,6.567547167255294,-3.298173690589079,-16.765974957927455,-3.9877104804431185,4.4232124523261085,8.11007139535449,0.08060340386504272,-25.171296208785687,-12.382330437562361,-23.386651741416177,-5.288420231923441,-22.916972601680975,-18.476967026900347,-22.389618850749958
9,40500,8054088,60.264198300000004,Indonesia,ID,IDN,360,360,-1.6541700000000001,136.1289978,-7.704640876677904,-17.961418761740887,-45.255284403199305,-4.359948382497636,-19.24250629033748,-17.636804962454498,-12.398240467619381,-18.36306428277834,-21.842526018381225,-40.62467008366561,-34.92781189616979,-43.8882593948725,-26.95347052658199,-37.22706596426699,-34.11549121539055,-38.51622832387248
10,54429,6296648,552.0089722,Indonesia,ID,IDN,360,360,4.5458298,98.0625,-0.5664607221231521,1.0804615484515834,-12.365647423172742,-1.0736016358186662,4.9845077781758285,-11.685003123583837,-1.1307970361490005,-0.4746292608458935,2.7362595509540233,-7.096735076275829,-2.331539687336992,-10.837412162242899,-5.835085608508816,-4.261513678133078,-5.756070791190126,-16.21496247241627
11,57810,5077529,142.27999880000002,Philippines,PH,PHL,608,608,9.3208303,125.5039978,14.153109828137577,4.02100382439623,0.06733238873655178,-3.797144549054854,-4.824167116056765,-3.278908606668085,2.2626093153558458,6.368127192976036,0.590958591667401,-30.078775958379957,-15.855202462839625,-31.03654533928395,0.906725672319042,-32.665826608852086,-20.987295793342852,-25.62487142340524
12,26189,9540756,27.311899199999996,Indonesia,ID,IDN,360,360,-7.245830099999999,131.49600220000002,-0.8404020753928099,-3.9414069171853305,3.1535782348909303,-4.444484940782312,-2.3516340469621033,-2.8673838508820215,-3.1656856880446727,-3.593294310012063,-6.547066446488559,-18.18556567815486,-15.86676874217231,-27.176323620599383,-19.403374431235022,-19.835378230702194,-18.37822156667078,-35.410854279189884
13,6099,9099912,155.326004,United Republic of Tanzania,TZ,TZA,834,834,-5.1708298,39.854198499999995,-3.6244031332754223,-2.901535257719856,12.200257457118123,-5.179310939217608,-3.4227776755939687,-8.4122136938643,-3.526455835213127,-2.046348906907114,0.06806794243217063,-13.221797997110995,-8.040748816417953,-18.623816839001105,-13.155770888132956,-12.244260162286235,-11.040064387483483,-24.219892026605173
14,19094,8534063,32.7249985,Indonesia,ID,IDN,360,360,-3.09583,126.8710022,-4.047041549320096,-6.740397639846785,-68.91070544232652,-5.523909575366536,-9.718841764825392,-3.7168113113191903,-5.986223834500781,-6.836116047586405,-9.034435357535031,-24.27971586675882,-23.708833512222704,-37.69319620071408,-13.867258863056865,-29.6009907976162,-25.363354163978148,-45.8687417290618
15,56066,5534933,144.8430023,Philippines,PH,PHL,608,608,7.629169900000001,126.5630035,5.060155859544713,-1.221638767069777,-21.21513488284724,-4.243107275971325,-8.69206661112283,-5.328680045986767,-3.2980466059044033,-4.109023470381135,-4.123263093495422,-34.37016546974496,-23.807226304000718,-41.71815582038458,11.943906567865014,-35.242944536352624,-25.75865032978798,-33.67394812431079
16,43299,7809115,41.8776016,Indonesia,ID,IDN,360,360,-0.8625,122.1460037,-6.50589966320786,-14.148753066060083,-26.931445012711087,-4.506231671639027,-19.90626700184972,-6.424442708099609,-11.743802734844412,-17.352225144460654,-13.664094498360758,-25.456459108089923,-18.205885819292057,-30.138711489180302,-10.612956608581737,-24.62526132073487,-19.171515077317636,-20.05165626548946
17,58610,4889101,107.90499879999999,Philippines,PH,PHL,608,608,9.9875002,118.9039993,-6.296965880398031,-5.336013246051841,-37.394731403030654,-4.38106264858813,-9.006383033152531,-11.209857484693043,-5.721780993277747,-8.414194103319772,-10.2080390914564,-18.722778957617404,-11.745418690368659,-23.432898050158556,-10.835374871667835,-16.261392780271887,-14.238695928555101,-22.8134063223712
